user_id,item_id,rating,timestamp
606,510,1,01-01-2023 07:35
117,507,5,01-01-2023 07:40
251,506,5,01-01-2023 07:45
582,518,1,01-01-2023 07:50
136,510,4,01-01-2023 07:55
243,510,1,01-01-2023 08:00
466,503,5,01-01-2023 08:05
224,517,1,01-01-2023 08:10
373,502,2,01-01-2023 08:15
736,514,3,01-01-2023 08:19
260,510,3,01-01-2023 08:24
775,507,2,01-01-2023 08:29
812,506,1,01-01-2023 08:34
663,518,2,01-01-2023 08:39
894,510,4,01-01-2023 08:44
410,510,4,01-01-2023 08:49
808,503,1,01-01-2023 08:54
902,517,2,01-01-2023 08:59
564,502,1,01-01-2023 09:04
264,514,2,01-01-2023 09:09
118,510,4,01-01-2023 09:14
278,507,1,01-01-2023 09:19
494,506,1,01-01-2023 09:24
354,518,5,01-01-2023 09:29
981,510,5,01-01-2023 09:34
327,510,3,01-01-2023 09:39
389,503,1,01-01-2023 09:44
966,517,2,01-01-2023 09:49
202,502,2,01-01-2023 09:54
599,514,3,01-01-2023 09:59
198,510,5,01-01-2023 10:04
903,507,2,01-01-2023 10:09
757,506,5,01-01-2023 10:14
581,518,2,01-01-2023 10:19
432,510,1,01-01-2023 10:24
716,510,3,01-01-2023 10:29
692,503,3,01-01-2023 10:34
636,517,4,01-01-2023 10:39
464,502,3,01-01-2023 10:44
510,514,3,01-01-2023 10:49
867,510,5,01-01-2023 10:54
275,507,2,01-01-2023 10:59
214,506,2,01-01-2023 11:04
688,518,3,01-01-2023 11:09
852,510,2,01-01-2023 11:14
837,510,1,01-01-2023 11:19
734,503,4,01-01-2023 11:24
151,517,1,01-01-2023 11:29
138,502,5,01-01-2023 11:34
782,514,3,01-01-2023 11:39
493,510,2,01-01-2023 11:44
684,507,1,01-01-2023 11:49
351,506,5,01-01-2023 11:54
891,518,3,01-01-2023 11:59
369,510,5,01-01-2023 12:04
126,510,4,01-01-2023 12:09
161,503,5,01-01-2023 12:14
646,517,3,01-01-2023 12:19
729,502,5,01-01-2023 12:24
394,514,2,01-01-2023 12:29
506,510,4,01-01-2023 12:34
588,507,2,01-01-2023 12:39
730,506,3,01-01-2023 12:44
373,518,3,01-01-2023 12:49
690,510,3,01-01-2023 12:54
941,510,3,01-01-2023 12:59
486,503,2,01-01-2023 13:04
452,517,4,01-01-2023 13:09
308,502,3,01-01-2023 13:14
903,514,3,01-01-2023 13:19
517,510,3,01-01-2023 13:24
763,507,4,01-01-2023 13:29
173,506,2,01-01-2023 13:34
322,518,5,01-01-2023 13:39
692,510,4,01-01-2023 13:44
596,510,5,01-01-2023 13:49
730,503,5,01-01-2023 13:54
208,517,4,01-01-2023 13:59
858,502,3,01-01-2023 14:04
484,514,5,01-01-2023 14:09
535,510,2,01-01-2023 14:14
470,507,2,01-01-2023 14:19
849,506,1,01-01-2023 14:24
715,518,5,01-01-2023 14:29
596,510,2,01-01-2023 14:34
696,510,1,01-01-2023 14:39
695,503,2,01-01-2023 14:44
983,517,3,01-01-2023 14:49
879,502,5,01-01-2023 14:54
329,514,3,01-01-2023 14:59
264,510,1,01-01-2023 15:04
968,507,2,01-01-2023 15:09
408,506,1,01-01-2023 15:14
352,518,4,01-01-2023 15:19
311,510,4,01-01-2023 15:24
312,510,5,01-01-2023 15:29
931,503,3,01-01-2023 15:34
358,517,4,01-01-2023 15:39
847,502,2,01-01-2023 15:44
468,514,2,01-01-2023 15:49
316,510,1,01-01-2023 15:54
873,507,2,01-01-2023 15:59
756,506,3,01-01-2023 16:04
361,518,5,01-01-2023 16:09
391,510,1,01-01-2023 16:14
722,510,4,01-01-2023 16:19
515,503,4,01-01-2023 16:24
927,517,3,01-01-2023 16:29
166,502,5,01-01-2023 16:34
331,514,1,01-01-2023 16:39
176,510,3,01-01-2023 16:44
888,507,2,01-01-2023 16:49
530,506,3,01-01-2023 16:54
555,518,4,01-01-2023 16:59
670,510,1,01-01-2023 17:04
131,510,5,01-01-2023 17:09
116,503,4,01-01-2023 17:14
294,517,5,01-01-2023 17:19
537,502,1,01-01-2023 17:24
638,514,3,01-01-2023 17:29
170,510,5,01-01-2023 17:34
168,507,2,01-01-2023 17:39
808,506,2,01-01-2023 17:44
247,518,3,01-01-2023 17:49
605,510,1,01-01-2023 17:54
844,510,2,01-01-2023 17:59
394,503,3,01-01-2023 18:04
163,517,1,01-01-2023 18:09
435,502,3,01-01-2023 18:14
772,514,4,01-01-2023 18:19
504,510,4,01-01-2023 18:24
328,507,1,01-01-2023 18:29
200,506,5,01-01-2023 18:34
921,518,5,01-01-2023 18:39
378,510,1,01-01-2023 18:44
357,510,2,01-01-2023 18:49
814,503,1,01-01-2023 18:54
198,517,1,01-01-2023 18:59
832,502,2,01-01-2023 19:04
945,514,4,01-01-2023 19:09
616,510,5,01-01-2023 19:14
214,507,4,01-01-2023 19:19
238,506,2,01-01-2023 19:24
410,518,3,01-01-2023 19:29
657,510,3,01-01-2023 19:34
588,510,2,01-01-2023 19:39
915,503,3,01-01-2023 19:44
383,517,1,01-01-2023 19:49
617,502,5,01-01-2023 19:54
745,514,4,01-01-2023 19:59
388,510,1,01-01-2023 20:04
493,507,4,01-01-2023 20:09
867,506,1,01-01-2023 20:14
900,518,1,01-01-2023 20:19
860,510,4,01-01-2023 20:24
962,510,1,01-01-2023 20:29
948,503,1,01-01-2023 20:34
987,517,3,01-01-2023 20:39
340,502,2,01-01-2023 20:44
831,514,5,01-01-2023 20:49
296,510,5,01-01-2023 20:54
404,507,3,01-01-2023 20:59
911,506,2,01-01-2023 21:04
586,518,5,01-01-2023 21:09
178,510,2,01-01-2023 21:14
302,510,1,01-01-2023 21:19
474,503,5,01-01-2023 21:24
520,517,5,01-01-2023 21:29
640,502,4,01-01-2023 21:34
599,514,5,01-01-2023 21:39
415,510,5,01-01-2023 21:44
276,507,4,01-01-2023 21:49
380,506,1,01-01-2023 21:54
541,518,2,01-01-2023 21:59
627,510,3,01-01-2023 22:04
958,510,5,01-01-2023 22:09
480,503,2,01-01-2023 22:14
107,517,1,01-01-2023 22:19
983,502,2,01-01-2023 22:24
270,514,5,01-01-2023 22:29
630,510,4,01-01-2023 22:34
105,507,2,01-01-2023 22:39
883,506,5,01-01-2023 22:44
724,518,2,01-01-2023 22:49
717,510,5,01-01-2023 22:54
409,510,1,01-01-2023 22:59
562,503,1,01-01-2023 23:04
523,517,3,01-01-2023 23:09
488,502,5,01-01-2023 23:14
708,514,1,01-01-2023 23:19
615,510,1,01-01-2023 23:24
317,507,3,01-01-2023 23:29
727,506,3,01-01-2023 23:34
746,518,2,01-01-2023 23:39
749,510,1,01-01-2023 23:44
936,510,3,01-01-2023 23:49
612,503,5,01-01-2023 23:54
556,517,1,01-01-2023 23:59
590,502,5,02-01-2023 00:04
662,514,2,02-01-2023 00:09
607,510,1,02-01-2023 00:14
143,507,4,02-01-2023 00:19
425,506,5,02-01-2023 00:24
145,518,3,02-01-2023 00:29
861,510,4,02-01-2023 00:34
292,510,4,02-01-2023 00:39
518,503,4,02-01-2023 00:44
278,517,5,02-01-2023 00:49
